associated_work,composer,date_text,filename,manifest_contents,manifest_date,manifest_organization,movement_or_selection,name,page_number,part_or_instrument,place,record_type,review_flags,role,source_pdf,source_text,title,txt_source_file
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,12,,,work,Composer not given in the program.,,UDC20260028-13.pdf,"Serenade

(TENOR SOLO Mr. W. Clarence Fraser)",Serenade,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,12,,,work,Composer not given in the program.,,UDC20260028-13.pdf,"Song

""L'Estasi""

Miss O'Shannessy",L'Estasi,extracted_texts/OLMOCR/UDC20260028-13.txt
,Berlioz,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,Rakocsky March,,13,,,work,,,UDC20260028-13.pdf,"Selections from ""La Damnation de Faust""  
Berlioz

1.—Rakocsky March",La Damnation de Faust,extracted_texts/OLMOCR/UDC20260028-13.txt
,Berlioz,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,Easter Hymn,,13,,,work,,,UDC20260028-13.pdf,2.—Easter Hymn,La Damnation de Faust,extracted_texts/OLMOCR/UDC20260028-13.txt
,Berlioz,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,Danse des Sylphes,,13,,,work,,,UDC20260028-13.pdf,3.—Danse des Sylphes,La Damnation de Faust,extracted_texts/OLMOCR/UDC20260028-13.txt
,Berlioz,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,Chorus of Soldiers and Students,,13,,,work,,,UDC20260028-13.pdf,4.—Chorus of Soldiers and Students,La Damnation de Faust,extracted_texts/OLMOCR/UDC20260028-13.txt
,Coombs,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,14,,,work,,,UDC20260028-13.pdf,"Song    ""Bedouin Love Song""    Coombs",Bedouin Love Song,extracted_texts/OLMOCR/UDC20260028-13.txt
,Zinkel,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,14,,,work,,,UDC20260028-13.pdf,"Part Song    ""Farewell""    Zinkel",Farewell,extracted_texts/OLMOCR/UDC20260028-13.txt
,Strauss,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,15,,,work,Arranger given as Elsasser; composer listed only by surname.,,UDC20260028-13.pdf,"Vocal Waltz ""Blue Danube"" (By request)
(ARRANGED BY ELSASSER) Strauss","Vocal Waltz ""Blue Danube""",extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,17,,,work,Composer not given in the program.,,UDC20260028-13.pdf,GOD SAVE THE QUEEN.,GOD SAVE THE QUEEN.,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Mr. Julius Herz,3,conductor,,performer,,,UDC20260028-13.pdf,Conductor: Mr. Julius Herz,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Mr. G. B. Fentum,4,piano,,performer,,,UDC20260028-13.pdf,"Mr. G. B. Fentum, Hon. Pianist",,extracted_texts/OLMOCR/UDC20260028-13.txt
L'Estasi,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Miss O'Shannessy,12,singer,,performer,,,UDC20260028-13.pdf,"""L'Estasi""

Miss O'Shannessy",,extracted_texts/OLMOCR/UDC20260028-13.txt
Bedouin Love Song,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Mr. A. H. Gee,14,singer,,performer,,,UDC20260028-13.pdf,"Song    ""Bedouin Love Song""    Coombs
Mr. A. H. Gee",,extracted_texts/OLMOCR/UDC20260028-13.txt
Harald's Bridal Voyage,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Mr. A. H. Gee,7,singer,,performer,,,UDC20260028-13.pdf,Solos by Mr. A. H. Gee and Mr. Henry Rofe,,extracted_texts/OLMOCR/UDC20260028-13.txt
Harald's Bridal Voyage,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Mr. Henry Rofe,7,singer,,performer,,,UDC20260028-13.pdf,Solos by Mr. A. H. Gee and Mr. Henry Rofe,,extracted_texts/OLMOCR/UDC20260028-13.txt
Concerto in E Flat Major,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Miss Florence Menk-Meyer,11,piano,,performer,,,UDC20260028-13.pdf,"Pianoforte Solo: Concerto in E Flat Major Beethoven
Miss Florence Menk-Meyer.",,extracted_texts/OLMOCR/UDC20260028-13.txt
Serenade,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Mr. W. Clarence Fraser,12,tenor,,performer,,,UDC20260028-13.pdf,(TENOR SOLO Mr. W. Clarence Fraser),,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. Cameron,6,tenor,,performer,,,UDC20260028-13.pdf,A. Cameron,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,R. Jones,6,tenor,,performer,,,UDC20260028-13.pdf,R. Jones,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. H. Williams,6,tenor,,performer,,,UDC20260028-13.pdf,W. H. Williams,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. H. Perryman,6,tenor,,performer,,,UDC20260028-13.pdf,W. H. Perryman,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,C. P. Rouvray,6,tenor,,performer,,,UDC20260028-13.pdf,C. P. Rouvray,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,E. Simmonds,6,tenor,,performer,,,UDC20260028-13.pdf,E. Simmonds,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,S. Symons,6,tenor,,performer,,,UDC20260028-13.pdf,S. Symons,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. Watts,6,tenor,,performer,,,UDC20260028-13.pdf,W. Watts,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. Kendall,6,tenor,,performer,,,UDC20260028-13.pdf,J. Kendall,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,G. F. Smith,6,tenor,,performer,,,UDC20260028-13.pdf,G. F. Smith,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,F. G. Whitty,6,tenor,,performer,,,UDC20260028-13.pdf,F. G. Whitty,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. Lilfe,6,tenor,,performer,,,UDC20260028-13.pdf,J. Lilfe,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. G. Bundy,6,tenor,,performer,,,UDC20260028-13.pdf,W. G. Bundy,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. Surrar,6,tenor,,performer,,,UDC20260028-13.pdf,A. Surrar,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. D. Prichard,6,tenor,,performer,,,UDC20260028-13.pdf,W. D. Prichard,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,E. S. Webster,6,tenor,,performer,,,UDC20260028-13.pdf,E. S. Webster,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,T. Jack,6,tenor,,performer,,,UDC20260028-13.pdf,T. Jack,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. B. Hayward,6,tenor,,performer,,,UDC20260028-13.pdf,W. B. Hayward,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. Bradshaw,6,tenor,,performer,,,UDC20260028-13.pdf,J. Bradshaw,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. J. Doyle,6,tenor,,performer,,,UDC20260028-13.pdf,J. J. Doyle,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. Brown,6,tenor,,performer,,,UDC20260028-13.pdf,W. Brown,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,P. Kendall,6,tenor,,performer,,,UDC20260028-13.pdf,P. Kendall,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. H. Williams,6,tenor,,performer,,,UDC20260028-13.pdf,J. H. Williams,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. M. Gillespie,6,tenor,,performer,,,UDC20260028-13.pdf,J. M. Gillespie,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. L. Carnegie,6,tenor,,performer,,,UDC20260028-13.pdf,J. L. Carnegie,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. C. Fraser,6,tenor,,performer,,,UDC20260028-13.pdf,W. C. Fraser,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,R. H. Hayes,6,tenor,,performer,,,UDC20260028-13.pdf,R. H. Hayes,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. Kennedy,6,tenor,,performer,,,UDC20260028-13.pdf,W. Kennedy,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,G. Smibert,6,tenor,,performer,,,UDC20260028-13.pdf,G. Smibert,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,C. Miller,6,tenor,,performer,,,UDC20260028-13.pdf,C. Miller,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. S. Ridley,6,tenor,,performer,,,UDC20260028-13.pdf,J. S. Ridley,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. A. Ure,6,tenor,,performer,,,UDC20260028-13.pdf,J. A. Ure,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. J. Campbell,6,tenor,,performer,,,UDC20260028-13.pdf,A. J. Campbell,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,C. D. Dixon,6,tenor,,performer,,,UDC20260028-13.pdf,C. D. Dixon,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. Williams,6,tenor,,performer,,,UDC20260028-13.pdf,A. Williams,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,C. M. Lilburne,6,tenor,,performer,,,UDC20260028-13.pdf,C. M. Lilburne,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,R. J. Moore,6,tenor,,performer,,,UDC20260028-13.pdf,R. J. Moore,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. H. Ford,6,tenor,,performer,,,UDC20260028-13.pdf,W. H. Ford,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. H. Kerr,6,tenor,,performer,,,UDC20260028-13.pdf,J. H. Kerr,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,L. Hart,6,tenor,,performer,,,UDC20260028-13.pdf,L. Hart,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. A. Hart,6,tenor,,performer,,,UDC20260028-13.pdf,W. A. Hart,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. J. Sage,6,tenor,,performer,,,UDC20260028-13.pdf,A. J. Sage,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,G. J. W. Blom,6,tenor,,performer,,,UDC20260028-13.pdf,G. J. W. Blom,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. H. Thomson,6,tenor,,performer,,,UDC20260028-13.pdf,A. H. Thomson,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,E. E. Dear,6,tenor,,performer,,,UDC20260028-13.pdf,E. E. Dear,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,S. E. Dixon,6,tenor,,performer,,,UDC20260028-13.pdf,S. E. Dixon,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. McLaren,6,tenor,,performer,,,UDC20260028-13.pdf,A. McLaren,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. H. Chandler,6,tenor,,performer,,,UDC20260028-13.pdf,W. H. Chandler,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. G. Barkley,6,tenor,,performer,,,UDC20260028-13.pdf,W. G. Barkley,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,H. Seymour,6,tenor,,performer,,,UDC20260028-13.pdf,H. Seymour,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,F. Poolman,6,tenor,,performer,,,UDC20260028-13.pdf,F. Poolman,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,H. O. Capes,6,tenor,,performer,,,UDC20260028-13.pdf,H. O. Capes,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,T. N. Jones,6,tenor,,performer,,,UDC20260028-13.pdf,T. N. Jones,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. Williams,6,tenor,,performer,,,UDC20260028-13.pdf,J. Williams,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,E. Miller,6,bass,,performer,,,UDC20260028-13.pdf,E. Miller,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. Fordyce,6,bass,,performer,,,UDC20260028-13.pdf,J. Fordyce,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,T. J. Connor,6,bass,,performer,,,UDC20260028-13.pdf,T. J. Connor,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. D. Tate,6,bass,,performer,,,UDC20260028-13.pdf,W. D. Tate,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,C. F. Wenborn,6,bass,,performer,,,UDC20260028-13.pdf,C. F. Wenborn,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. W. Jack,6,bass,,performer,,,UDC20260028-13.pdf,A. W. Jack,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,G. Wiggley,6,bass,,performer,,,UDC20260028-13.pdf,G. Wiggley,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. L. Pryde,6,bass,,performer,,,UDC20260028-13.pdf,A. L. Pryde,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. H. Mulvany,6,bass,,performer,,,UDC20260028-13.pdf,J. H. Mulvany,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. O. Cartwright,6,bass,,performer,,,UDC20260028-13.pdf,J. O. Cartwright,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. W. Eggleston,6,bass,,performer,,,UDC20260028-13.pdf,J. W. Eggleston,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,R. L. Thompson,6,bass,,performer,,,UDC20260028-13.pdf,R. L. Thompson,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. Greig,6,bass,,performer,,,UDC20260028-13.pdf,W. Greig,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,E. W. Clisby,6,bass,,performer,,,UDC20260028-13.pdf,E. W. Clisby,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,R. Jolley,6,bass,,performer,,,UDC20260028-13.pdf,R. Jolley,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A. Astley,6,bass,,performer,,,UDC20260028-13.pdf,A. Astley,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,I. Bowley,6,bass,,performer,,,UDC20260028-13.pdf,I. Bowley,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,S. J. Warnock,6,bass,,performer,,,UDC20260028-13.pdf,S. J. Warnock,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,E. H. Bardwell,6,bass,,performer,,,UDC20260028-13.pdf,E. H. Bardwell,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,F. B. Bryant,6,bass,,performer,,,UDC20260028-13.pdf,F. B. Bryant,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,R. T. Rowe,6,bass,,performer,,,UDC20260028-13.pdf,R. T. Rowe,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,H. J. Ralph,6,bass,,performer,,,UDC20260028-13.pdf,H. J. Ralph,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. W. Perryman,6,bass,,performer,,,UDC20260028-13.pdf,J. W. Perryman,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. A. Gilbert,6,bass,,performer,,,UDC20260028-13.pdf,W. A. Gilbert,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. Mellor,6,bass,,performer,,,UDC20260028-13.pdf,W. Mellor,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,E. J. Rice,6,bass,,performer,,,UDC20260028-13.pdf,E. J. Rice,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,C. S. Cunningham,6,bass,,performer,,,UDC20260028-13.pdf,C. S. Cunningham,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,D. Wright,6,bass,,performer,,,UDC20260028-13.pdf,D. Wright,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,S. Moyle,6,bass,,performer,,,UDC20260028-13.pdf,S. Moyle,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. F. Rashleigh,6,bass,,performer,,,UDC20260028-13.pdf,W. F. Rashleigh,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,C. H. Woodman,6,bass,,performer,,,UDC20260028-13.pdf,C. H. Woodman,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,M. St. J. Kennedy,6,bass,,performer,,,UDC20260028-13.pdf,M. St. J. Kennedy,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,F. W. White,6,bass,,performer,,,UDC20260028-13.pdf,F. W. White,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,S. Angus,6,bass,,performer,,,UDC20260028-13.pdf,S. Angus,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,W. M. Ure,6,bass,,performer,,,UDC20260028-13.pdf,W. M. Ure,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,H. Ropk,6,bass,,performer,Name appears garbled by OCR; unrecoverable with confidence.,,UDC20260028-13.pdf,H. Ropk,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,J. Keyston,6,bass,,performer,,,UDC20260028-13.pdf,J. Keyston,,extracted_texts/OLMOCR/UDC20260028-13.txt
