Severity,Record Type,Source Document,Page,Organization,Date,OCR Original,LLM Resolution,Suggested Problem
High — OCR/legibility,performer,UDC20260028-30.pdf,11,Musashino Academia Musicae,1969-71,"2nd Violins
... 渡辺 泉",name: 渡辺 泉 | part_or_instrument: Second Violin | associated_work: Cosi Fan Tutte,Name also appears under Flutes; OCR/section assignment may be faulty.
High — OCR/legibility,performer,UDC20260028-30.pdf,11,Musashino Academia Musicae,1969-71,"Flutes
... 渡辺 泉",name: 渡辺 泉 | part_or_instrument: Flute | associated_work: Cosi Fan Tutte,Name also appears under Second Violins; OCR/section assignment may be faulty.
High — OCR/legibility,performer,UDC20260028-30.pdf,11,Musashino Academia Musicae,1969-71,"Soprano
仲村幸男",name: 仲村幸男 | part_or_instrument: Soprano | associated_work: Cosi Fan Tutte,Choral roster OCR is somewhat jumbled; voice assignment kept as printed.
High — OCR/legibility,performer,UDC20260028-31.pdf,6,Musashino Academia Musicae,1978,"Percussion
奥川夕美子　Saxophone",name: 奥川夕美子 | part_or_instrument: Percussion,Only one name appears between 'Percussion' and 'Saxophone' headers due to OCR line breaks; assignment may be incomplete.
High — OCR/legibility,performer,UDC20260028-31.pdf,6,Musashino Academia Musicae,1978,Saxophone　中岡慎二　☆奥田昌史,name: 中岡慎二 | part_or_instrument: Saxophone,Header proximity used; roster OCR merged across lines; assignment may be approximate.
High — OCR/legibility,performer,UDC20260028-31.pdf,6,Musashino Academia Musicae,1978,Saxophone　中岡慎二　☆奥田昌史,name: ☆奥田昌史 | part_or_instrument: Saxophone,Header proximity used; roster OCR merged across lines; assignment may be approximate.
High — OCR/legibility,performer,UDC20260028-31.pdf,6,Musashino Academia Musicae,1978,瀬野栄子　☆芝崎豊春　長尾宏　松川晃,name: 瀬野栄子 | part_or_instrument: Saxophone,Assumed to be within Saxophone section by proximity to 'Saxophone' header; OCR merging may affect boundaries.
High — OCR/legibility,performer,UDC20260028-31.pdf,6,Musashino Academia Musicae,1978,瀬野栄子　☆芝崎豊春　長尾宏　松川晃,name: ☆芝崎豊春 | part_or_instrument: Saxophone,Assumed to be within Saxophone section by proximity to 'Saxophone' header; OCR merging may affect boundaries.
High — OCR/legibility,performer,UDC20260028-31.pdf,6,Musashino Academia Musicae,1978,瀬野栄子　☆芝崎豊春　長尾宏　松川晃,name: 長尾宏 | part_or_instrument: Saxophone,Assumed to be within Saxophone section by proximity to 'Saxophone' header; OCR merging may affect boundaries.
High — OCR/legibility,performer,UDC20260028-31.pdf,6,Musashino Academia Musicae,1978,瀬野栄子　☆芝崎豊春　長尾宏　松川晃,name: 松川晃 | part_or_instrument: Saxophone,Assumed to be within Saxophone section by proximity to 'Saxophone' header; OCR merging may affect boundaries.
High — OCR/legibility,performer,UDC20260028-31.pdf,6,Musashino Academia Musicae,1978,"竹当加奈子　野口昌代　定岡利典　Trumpet
神田寿夫　Fagotte",name: 神田寿夫 | part_or_instrument: Trumpet,Only clearly isolated name after 'Trumpet' header retained due to OCR merging.
High — OCR/legibility,organization,UDC20260028-32.pdf,1,Melbourne Liedertafel,1896,THE ROYAL METROPOLITAN LIEDEBRATELI,name: THE ROYAL METROPOLITAN LIEDEBRATELI | role: performing organization,OCR-garbled; likely 'Liedertafel'
High — OCR/legibility,performer,UDC20260028-32.pdf,2,Melbourne Liedertafel,1896,"(Grand Organ, Mr. Ernest Wood; Piano, Mr. G. B. Frenckum)",name: Mr. G. B. Frenckum | part_or_instrument: piano | associated_work: Lend Me your Aid,Name likely OCR for 'Fentum'
High — OCR/legibility,performer,UDC20260028-32.pdf,9,Melbourne Liedertafel,1896,"Song—Vulcan's Song (Philemon et Baucis)
    Mr. Henry Rofe",name: Mr. Henry Rofe | part_or_instrument: singer | associated_work: Vulcan's Song,Likely OCR for 'Rose'
High — OCR/legibility,work,UDC20260028-32.pdf,11,Melbourne Liedertafel,1896,Grand Double Chorus—Ah! were I on Yonder Plain (Antigone) MENDELSsohn,title: Ah! were I on Yonder Plain | composer: MENDELSsohn | movement_or_selection: Antigone,Composer casing looks OCR-garbled; likely 'Mendelssohn'
High — OCR/legibility,performer,UDC20260028-32.pdf,13,Melbourne Liedertafel,1896,"Pianoforte Solo—
Valse Caprice in E Flat
Rubinstein
Miss Maude Gelinski",name: Miss Maude Gelinski | part_or_instrument: piano | associated_work: Valse Caprice in E Flat,Likely OCR for 'Celinski'
High — OCR/legibility,date,UDC20260028-32.pdf,16,Melbourne Liedertafel,1896,"MONDAY EVENING
90TH NOV., 1896.","date_text: 90TH NOV., 1896.","Likely OCR error for '30TH NOV., 1896.'"
High — OCR/legibility,organization,UDC20260028-34.pdf,1,Melbourne Liedertafel,1892,THE ROYAL METROPOLITAN LIEDERTAPEL,name: THE ROYAL METROPOLITAN LIEDERTAPEL | role: presenting organization,OCR likely intended 'Liedertafel' but kept as printed
High — OCR/legibility,performer,UDC20260028-34.pdf,4,Melbourne Liedertafel,1892,Mr. Smith,name: Mr. Smith | part_or_instrument: Grand Cass and Cymbals,Instrument heading printed as 'Grand Cass and Cymbals'; unclear—likely 'Bass Drum and Cymbals'
High — OCR/legibility,organization,UDC20260028-35.pdf,1,Melbourne Liedertafel,1896,THE ROYAL METROPOLITAN LIEDERKARSEL,name: THE ROYAL METROPOLITAN LIEDERKARSEL | role: presenting organization,Probable OCR error; likely 'LIEDERTAFEL'.
High — OCR/legibility,work,UDC20260028-35.pdf,9,Melbourne Liedertafel,1896,Part Song—Hymn to the Night  MÖHRIN,title: Hymn to the Night | composer: MÖHRIN,Composer OCR may be garbled; likely 'Möhring' or similar.
High — OCR/legibility,performer,UDC20260028-36.pdf,4,Melbourne Liedertafel,1896,"HON. PIANIST
MR. G. B. FENTUM",name: MR. G. B. FENTUM | part_or_instrument: pianist,Name differs from page 6 'Mr. G. B. Kentum'; likely OCR variance.
High — OCR/legibility,performer,UDC20260028-36.pdf,6,Melbourne Liedertafel,1896,"Mr. G. B. Kentum,
Hon. Pianist",name: Mr. G. B. Kentum | part_or_instrument: pianist,Possible OCR error; differs from page 4 'MR. G. B. FENTUM'. Assumed same person.
High — OCR/legibility,performer,UDC20260028-37.pdf,6,Melbourne Liedertafel,1894,"Appelby, W. E. (on l.)","name: Appelby, W. E. (on l.) | part_or_instrument: First Bass",Likely 'on leave' abbreviated/truncated; kept as printed/OCR'd
High — OCR/legibility,work,UDC20260028-37.pdf,7,Melbourne Liedertafel,1894,CHORAL BALLAD - Landerkennung - Edvard Grieg.,title: Landerkennung | composer: Edvard Grieg,Title likely the Grieg work 'Landkjenning'; kept as printed/OCR'd
High — OCR/legibility,work,UDC20260028-37.pdf,8,Melbourne Liedertafel,1894,"(a) Last Night - - Kjenulf.
Soloist—Mr. H. J. Robinson.",title: Last Night | composer: Kjenulf,Composer likely Halfdan Kjerulf; kept as printed/OCR'd
High — OCR/legibility,work,UDC20260028-37.pdf,9,Melbourne Liedertafel,1894,"SCENA—Ed stria E strano è strano
(La Traviata) Verdi.",title: Ed stria E strano è strano | composer: Verdi | movement_or_selection: La Traviata,Title appears OCR-garbled; likely 'È strano ...' from La Traviata; kept as printed/OCR'd
High — OCR/legibility,performer,UDC20260028-37.pdf,10,Melbourne Liedertafel,1894,"SOLO QUARTETTE - MESSRS. H. ROBINSON, J. CHAMPION, C. HALL, AND W. C. J.ONES.",name: J. CHAMPION | part_or_instrument: soloist | associated_work: MILA,Voice types not specified; OCR may have minor punctuation variance
High — OCR/legibility,work,UDC20260028-4.pdf,11,Musashino Academia Musicae,1972-73,"A. Corelli .............................................Ballade A flat major Op. 47,","title: Ballade A flat major Op. 47, | composer: A. Corelli",Likely mis-OCR/misattribution; title resembles Chopin Ballade Op. 47
High — OCR/legibility,work,UDC20260028-4.pdf,13,Musashino Academia Musicae,1972-73,"2) R. Schumann ......Davidshüldertänze Op. 6, Etudes symphoniques Op. 13",title: Davidshüldertänze Op. 6 | composer: R. Schumann,Likely OCR error; probably 'Davidsbündlertänze'
High — OCR/legibility,performer,UDC20260028-41.pdf,4,Melbourne Liedertafel,1905,"Hon. Conductor:
Pro. Marshall-Hall.",name: Pro. Marshall-Hall. | part_or_instrument: conductor,"'Pro.' likely OCR for 'Prof.', kept as printed.; Listed as honorary conductor; unclear if conducting this concert."
High — OCR/legibility,performer,UDC20260028-41.pdf,4,Melbourne Liedertafel,1905,"Conductor:
Mr. August Siebe.",name: Mr. August Siebe. | part_or_instrument: conductor,Page 9 credits 'MR. AUGUST SIEDE' under the baton; possible OCR/name variant.
High — OCR/legibility,performer,UDC20260028-41.pdf,4,Melbourne Liedertafel,1905,"Deputy Hon. Pianistis:
Mr. Fredk. Mewtone.",name: Mr. Fredk. Mewtone. | part_or_instrument: pianist,Possible OCR error in surname (perhaps 'Newtone'); kept as printed.; Role includes 'Deputy Hon.'; treated as pianist.
High — OCR/legibility,performer,UDC20260028-41.pdf,6,Melbourne Liedertafel,1905,"FIRST TENOR.
Fardy, Alfred","name: Fardy, Alfred | part_or_instrument: First Tenor",Surname may be OCR variant of 'Pardy' seen elsewhere; kept as printed.
High — OCR/legibility,performer,UDC20260028-41.pdf,6,Melbourne Liedertafel,1905,"SECOND BASS.
Statteis, J.","name: Statteis, J. | part_or_instrument: Second Bass",Surname differs from 'Mr. J. Statters' (Hon. Librarian) elsewhere; possible OCR variance.
High — OCR/legibility,performer,UDC20260028-41.pdf,9,Melbourne Liedertafel,1905,"Under the Baton of
MR. AUGUST SIEDE",name: MR. AUGUST SIEDE | part_or_instrument: conductor,Page 4 also lists 'Mr. August Siebe' as Conductor; possible OCR/name variant.
High — OCR/legibility,performer,UDC20260028-41.pdf,9,Melbourne Liedertafel,1905,(Sele—Mr. JAMES WADE).,"name: Mr. JAMES WADE | part_or_instrument: vocal soloist | associated_work: ""Champagnerlied""",'Sele' likely OCR for 'Solo'. Kept as printed.
High — OCR/legibility,work,UDC20260028-41.pdf,11,Melbourne Liedertafel,1905,"Gantata—
""Festgesang""
Mendelssohn","title: ""Festgesang"" | composer: Mendelssohn",Word 'Gantata' appears to be OCR for 'Cantata'. Keeping as printed.
High — OCR/legibility,performer,UDC20260028-41.pdf,11,Melbourne Liedertafel,1905,"(Double Quartette—Messrs. J. P. DONALDSON, C. WOESS, F. GOLDING, H. H. CHANDLER, W. H. FLOOD, T. GRAY, F. S. WHITEHEAD, A. A. BISHOP, H. Y. WOOD, E. A. URE, E. WALDRON, J. A. TODD, G. H. BROWN).","name: H. H. CHANDLER | part_or_instrument: singer | associated_work: ""Festgesang""","Surname differs from choir list 'Handler, H. H.'; possible OCR variance."
High — OCR/legibility,performer,UDC20260028-42.pdf,7,Melbourne Liedertafel,1910,""" Lucas","name: "" Lucas | part_or_instrument: violin",Ditto mark indicates repeating honorific; exact value unclear
High — OCR/legibility,performer,UDC20260028-42.pdf,7,Melbourne Liedertafel,1910,""" Maclean","name: "" Maclean | part_or_instrument: violin",Ditto mark indicates repeating honorific; exact value unclear
High — OCR/legibility,performer,UDC20260028-42.pdf,7,Melbourne Liedertafel,1910,""" Whiteley","name: "" Whiteley | part_or_instrument: violin",Ditto mark indicates repeating honorific; exact value unclear
High — OCR/legibility,performer,UDC20260028-42.pdf,7,Melbourne Liedertafel,1910,""" Cook","name: "" Cook | part_or_instrument: violin",Ditto mark indicates repeating honorific; exact value unclear
High — OCR/legibility,performer,UDC20260028-42.pdf,7,Melbourne Liedertafel,1910,""" B. Cook","name: "" B. Cook | part_or_instrument: violin",Ditto mark indicates repeating honorific; exact value unclear
High — OCR/legibility,performer,UDC20260028-42.pdf,7,Melbourne Liedertafel,1910,""" McDermott","name: "" McDermott | part_or_instrument: violin",Ditto mark indicates repeating honorific; exact value unclear
