associated_work,composer,date_text,filename,manifest_contents,manifest_date,manifest_organization,movement_or_selection,name,page_number,part_or_instrument,place,record_type,review_flags,role,source_text,title
,Franz Liszt,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,ALLEGRO Maestoso; Quasi ADAGIO; Allegretto Vivace; Allegro Marziale ANIMATO,,13,,,work,OCR garble in 'Noz Sianoforle' (Pianoforte) and numeral,,"Concerto  (No. ι in Ε flat)—
Noz Sianoforle & Orchestra
Franz Liszt",Concerto No. 1 in E flat (for Pianoforte & Orchestra)
,EDWARD GRIEG,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,,14,,,work,Composer OCR variant 'EDWARD GREIG' vs 'Edvard Grieg'—kept as printed,,"""LANDERKENNUNG""
(LAND SIGHTING)
For Baritone Solo, Chorus of Men’s voices, Organ and 
Orchestra.
BY EDWARD GRIEG.
Op. 31.","Landerkennung (Land Sighting), Op. 31"
,FRANZ LISZT,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,Chorus of Crusaders—Recitative of Landgrave—Parting—Chorus and March,,15,,,work,,,"THE LEGEND OF ST. ELIZABETH
(OF HUNGARY).
For Solo Voices. Chorus (S.A.T.B.) Organ &. Orchestra,
BY
FRANZ LISZT.",The Legend of St. Elizabeth (Crusaders' Scene)
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,MR. HENRY JOHN KING,4,Conductor,,performer,,,Conductor  - MR. HENRY JOHN KING,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,H. J. King,7,Conductor,,performer,OCR case/spacing oddities,,"Μκ. H. J. King , the Conductor, for the whole of the music set 
down for performance this afternoon.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr . AUGUST SIEDE,3,Hon. Pianist & Organist,,performer,Unclear if this is a performing role in this concert,,"Hon. Gianist § Organist :
Mr . AUGUST SIEDE.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,MR. GEO. WESTON,4,Principal Violin,,performer,,,Principal  Violin  MR. GEO. WESTON.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. G. Weston,4,Violini Imi.,,performer,,,"Violini Imi.—
Mr. G. Weston.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,F. Dierich,4,Violini Imi.,,performer,,,"Violini Imi.—
F. Dierich.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,G. Sutch,4,Violini Imi.,,performer,,,"Violini Imi.—
„G. Sutch.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,E. King,4,Violini Imi.,,performer,,,"Violini Imi.—
„E. King.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,H. Schraeder,4,Violini Imi.,,performer,,,"Violini Imi.—
„H. Schraeder.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,B. Stevens,4,Violini Imi.,,performer,,,"Violini Imi.—
,, B. Stevens.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,T. Zeplin,4,Violini Imi.,,performer,,,"Violini Imi.—
„, T. Zeplin.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,W. Josephi,4,Violini Imi.,,performer,,,"Violini Imi.—
,, W. Josephi.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Mr, J. Wright",4,Violini Ildi.,,performer,OCR 'Ildi.' (Second violins) kept as printed,,"Violini Ildi.—
Mr, J. Wright.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,M. A. Phillips,4,Violini Ildi.,,performer,,,"Violini Ildi.—
,M. A. Phillips.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,A. Zelman,4,Violini Ildi.,,performer,,,"Violini Ildi.—
„A. Zelman.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,E. Rawlins,4,Violini Ildi.,,performer,,,"Violini Ildi.—
,, E. Rawlins.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"H. Weinberg, senr.",4,Violini Ildi.,,performer,OCR artifacts ('2*') present,,"Violini Ildi.—
2* H. Weinberg, senr.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. G. II. Schacht,4,Violi,,performer,Section heading OCR ('Violi'),,"Violi —
Mr. G. II. Schacht.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,A. Zeplin,4,Violi,,performer,,,"Violi —
„A. Zeplin.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,H. Edwards,4,Violi,,performer,,,"Violi —
,, H. Edwards.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,T. Weidermann,4,Violi,,performer,,,"Violi —
,, T. Weidermann.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. Geo. E. Howard,4,Violoncelli,,performer,,,"Violoncelli—
Mr. Geo. E. Howard.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,F. Clutsam,4,Violoncelli,,performer,,,"Violoncelli—
„F. Clutsam.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,C. Harrison,4,Violoncelli,,performer,,,"Violoncelli—
,, C. Harrison.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. A. Ceschina,4,Contra Bassi,,performer,,,"Contra Bassi —
Mr. A. Ceschina",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,W. Brown,4,Contra Bassi,,performer,,,"Contra Bassi —
„W. Brown.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,H. West,4,Contra Bassi,,performer,,,"Contra Bassi —
„H. West.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. H. L. Stoneham,4,Flauti,,performer,,,"Flauti—
Mr. H. L. Stoneham.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,J. S. Smith,4,Flauti,,performer,,,"Flauti—
,, J. S. Smith.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. G. Wright,4,Flauto Piccolo,,performer,,,"Flauto Piccolo —
Mr. G. Wright.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. E. Lyons,4,Oboi,,performer,,,"Oboi—
Mr. E. Lyons.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,R. Carolane,4,Oboi,,performer,,,"Oboi—
„R. Carolane.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,T. Cuttle,4,Oboi,,performer,,,"Oboi—
„T. Cuttle.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. F. Luttich,4,Cor Ang’ais,,performer,Spacing OCR in section heading,,"Cor A ng’ais—
Mr. F. Luttich.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. Campbell,4,Clarinetti,,performer,,,"Clarinetti—
Mr. Campbell.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,M. Lyons,4,Clarinetti,,performer,,,"Clarinetti—
„M. Lyons.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,J. B. Walters,4,Clarinetti,,performer,,,"Clarinetti—
„ J. B. Walters.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. Moffitt,4,Fagotti,,performer,,,"Fagotti—
Mr. Moffitt.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Chas. S. Rudall,4,Fagotti,,performer,,,"Fagotti—
,, Chas. S. Rudall.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,A. X. Ingamells,4,Fagotti,,performer,,,"Fagotti—
,, A. X. Ingamells.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. Η Kühr,4,Corni,,performer,Diacritic/initial OCR in name,,"Corni—
Mr. Η Kühr,",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,A. Flewin,4,Corni,,performer,,,"Corni—
„A. Flewin.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,R. Peckotsch,4,Corni,,performer,,,"Corni—
„R. Peckotsch.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,W. FL Heathcote,4,Corni,,performer,OCR in initials ('FL'),,"Corni—
,, W. FL Heathcote.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. H. Stoneham,4,Trombe,,performer,Section heading OCR spacing,,"Trom be —
Mr. H. Stoneham.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,T. Wilson,4,Trombe,,performer,,,"Trom be —
,, T. Wilson.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,W. H. Matthias,4,Trombe,,performer,,,"Trom be —
„W. H. Matthias.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. P. Downs,4,Tromboni,,performer,,,"Tromboni —
Mr. P. Downs.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,T. Lawson,4,Tromboni,,performer,,,"Tromboni —
» T. Lawson.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,S. Hore,4,Tromboni,,performer,,,"Tromboni —
„S. Hore.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. J. Fries,4,Tuba,,performer,Section heading OCR spacing,,"Tu ba —
Mr. J. Fries.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. J. Mumyard,4,Timpani,,performer,,,"Timpani—
Mr. J. Mumyard.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,T. J. Lamble,4,Timpani,,performer,,,"Timpani—
„ T. J. Lamble.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. G. W. Corbett,4,Tamburo Piccolo,,performer,,,"Tamburo Piccolo —
Mr. G. W. Corbett.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Mr. A. S. Clay,4,"Cymbals, Campanetta, Triangle and Glocken",,performer,Multiple instruments combined; OCR line breaks/spacing odd,,"Cymbals
Campanetta )
Mr. A. S. Clay.
Triangle andI
Glocken (",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Madame Elise Wiedermann,6,Soloist,,performer,OCR garble; interpreted as 'Mme. Elise Wiedermann',,"J\4d ME. pLISE ^lEDERJVlANN,",
The Legend of St. Elizabeth (Crusaders' Scene),,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,MDME. ELISE WIEDERMANN,16,Elizabeth (solo),,performer,,,ELIZABETH MDME. ELISE WIEDERMANN.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Miss ADA CROSSLEY,6,Soloist (Contralto),,performer,OCR garble; interpreted as 'Miss Ada Crossley',,"^ÆlSS ^DA J^F^SSLEY,",
"Rhapsodie (fragment aus Goethe's Harzreise im Winter), Op. 53",,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Miss ADA CROSSLEY,12,Soloist (Contralto),,performer,,,Soloist  - Miss ADA CROSSLEY,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Miss DORA STAMP,6,Sole Pianoforte,,performer,OCR garble; interpreted as 'Miss Dora Stamp',,"Miss po^A STAMP
(Sole Pianoforte).",
Concerto No. 1 in E flat (for Pianoforte & Orchestra),,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Miss DORA STAMP,13,Pianoforte Soloist,,performer,,,SOLOIST - Miss DORA STAMP.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,HERR RUDOLPH HIMMER,6,Soloist,,performer,OCR garble ('MERR' for 'HERR'; surname matches later 'HIMMER'),,"MERR RUDOLPH HUMMER,",
Parsifal,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Herr  HIMMER,10,Parsifal (role),,performer,,,PARSIFAL - Herr  HIMMER.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,HERR R. NITSCHKE,6,Baritone (soloist),,performer,,,"HERR R, NITSCHKE
(Of Adelaide),",
"Landerkennung (Land Sighting), Op. 31",,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,HERR R. NITSCHKE,14,Baritone Soloist,,performer,,,"Soloist  - HERR R. NITSCHKE,",
The Legend of St. Elizabeth (Crusaders' Scene),,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,HERR R. NITSCHKE,16,Landgrave (role),,performer,OCR garble in title punctuation,,"LANDGRAVE L :w!, HERR R. NITSCHKE.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,HERR ERNEST HARTUNG,6,Soloist,,performer,OCR garble ('HERE' for 'HERR'),,"HERE ERNEST HARTUNG,",
Parsifal,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Herr  ERNEST HARTUNG,10,Gurnemanz (role),,performer,,,GURNEMANZ - Herr  ERNEST HARTUNG.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,HERR LOUIS FLEISSNER,6,Soloist,,performer,OCR garble; interpreted as 'Herr Louis Fleissner',,MERR Louis pLElSSN.EPv,
Parsifal,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Herr  LOUIS FLEISSNER,10,Titurel (role),,performer,,,TITUREL - Herr  LOUIS FLEISSNER.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,—,5,,,performer,Section header OCR artifacts; specific parts follow below,,"Members of the Choir, %",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Dickins, J. J. (Capt.)",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading,,"Dickins, J. J. (Capt.)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Speed, R. D. (on leave)",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading,,"Speed, R. D. (on leave)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Thomas, Τ. H.",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading; OCR in initial,,"Thomas, Τ. H",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Altmann, H.",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading,,"Altmann, H.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Altmann, H. A",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading,,"Altmann, H. A",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Manson, D. E.",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading; OCR spacing,,"Manson, D E.,",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Dyer, J.",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading,,"Dyer, J.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Hardy, J. W.",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading,,"Hardy, J. W.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Heymanson, A. A.",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading,,"Heymanson, A. A.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Madden, D. A.",5,,,performer,Part not explicitly indicated before 'FIRST TENOR' heading; OCR garble in initial,,"Madden, I). A",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,—,5,FIRST TENOR,,performer,,,FIRST TENOR.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Beaumont, D. A.",5,FIRST TENOR,,performer,,,"Beaumont, D. A.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Newman, F. A.",5,FIRST TENOR,,performer,,,"Newman, F. A.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Robie, D. L.",5,FIRST TENOR,,performer,,,"Robie, D. L.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Robinson, Η. J. (on Ive.)",5,FIRST TENOR,,performer,OCR 'Ive.' for 'leave',,"Robinson, Η. J. (on Ive.)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Woess, Carl",5,FIRST TENOR,,performer,,,"Woess, Carl",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Thackeray, J.",5,FIRST TENOR,,performer,,,"Thackeray, J.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Heron, G. K.",5,FIRST TENOR,,performer,,,"Heron, G. K.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Bird, Jno",5,FIRST TENOR,,performer,,,"Bird, Jno",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Ward Η.,5,FIRST TENOR,,performer,Initial OCR oddity,,Ward Η.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Fletcher, S. H. (on leave)",5,FIRST TENOR,,performer,,,"Fletcher, S. H. (on leave)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Brunton, W.",5,FIRST TENOR,,performer,,,"Brunton, W.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Fullagher, A. G.",5,FIRST TENOR,,performer,,,Fullagher A. G,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Eville, P. M.",5,FIRST TENOR,,performer,,,"Eville, P. M.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Harley, G.",5,FIRST TENOR,,performer,,,"Harley, G.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Donaldson, J. P.",5,FIRST TENOR,,performer,,,"Donaldson, J. P.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Boosey, Η.",5,FIRST TENOR,,performer,,,"Boosey, Η.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Harvey, H. J.",5,FIRST TENOR,,performer,,,"Harvey, H. J.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Power, F.",5,FIRST TENOR,,performer,,,Power. F.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Carne, A. E. (Capt.)",5,FIRST TENOR,,performer,,,"Carne, A. E. (Capt.)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Rament, Ε.",5,FIRST TENOR,,performer,,,"Rament, Ε.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Champion, W.",5,FIRST TENOR,,performer,,,Champion. W.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Forsyth, J. A.",5,FIRST TENOR,,performer,,,"Forsyth, J. A",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Herring, W. E.",5,FIRST TENOR,,performer,,,"Herring, W. E.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Lloyd, P.",5,FIRST TENOR,,performer,,,Lloyd. P.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Marshall, Capt. T. S. (on 1.)",5,FIRST TENOR,,performer,'on 1.' likely 'on leave' (OCR),,Marshall. Capt. T. S. (on 1.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Hall, C. N.",5,FIRST TENOR,,performer,,,"Hall, C. N.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Rundell, W. R.",5,FIRST TENOR,,performer,,,"Rundell, W. R.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Day, G. A. (Capt.)",5,FIRST TENOR,,performer,,,"Day, G. A. (Capt.)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Bennett, J. J.",5,FIRST TENOR,,performer,,,"Bennett, J. J.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Clinton, F.",5,FIRST TENOR,,performer,,,"Clinton, F.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Garritty, W.",5,FIRST TENOR,,performer,,,"Garritty, W.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Garrett, H. (on leave)",5,FIRST TENOR,,performer,,,"Garrett, H. (on leave)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Gerson, J",5,FIRST TENOR,,performer,,,"Gerson, J",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Heathcote, W. H.",5,FIRST TENOR,,performer,,,"Heathcote, W. H.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Henne, D.",5,FIRST TENOR,,performer,,,"Henne, D.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Templeton, Capt. T. H.",5,FIRST TENOR,,performer,,,"Templeton, Capt. T. H.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Whitehead, F. S.",5,FIRST TENOR,,performer,,,"Whitehead, F. S.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Hedding, Jas.",5,FIRST TENOR,,performer,,,"Hedding, Jas.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Carter, E. J.",5,FIRST TENOR,,performer,,,"Carter, E. J.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,—,5,SECOND TENOR,,performer,,,SECOND TENOR.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Gray, Thos.",5,SECOND TENOR,,performer,,,"Gray, Thos.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Whipp, A. A. (on leave)",5,SECOND TENOR,,performer,,,"Whipp, A. A. (on leave)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Beere, R. Η",5,SECOND TENOR,,performer,,,"Beere, R. Η",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Morgan, C. W. (on leave)",5,SECOND TENOR,,performer,Missing opening parenthesis (OCR),,"Morgan, C. W. on leave)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Ford, Η.",5,SECOND TENOR,,performer,,,"Ford, Η.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Hotchin, T. H. K",5,SECOND TENOR,,performer,,,"Hotchin, T. H. K",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Pleasants, E. A.",5,SECOND TENOR,,performer,,,"Pleasants, E. A.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"Bates, Chas. Junr.",5,SECOND TENOR,,performer,,,"Bates, Chas. Junr.",
