Flag Type,Flag description,What was done,Where found,Where placed
incomplete information,"The conference material appears to be part of a larger document or program, but only the hymn texts and related headings are visible in this chunk.","Extracted a conference event using only the visible headings, tune names, lyrics, and credits.",376-437,393
ambiguous attribution,"The role of ""M. RINKART, 1586-1649."" is not explicitly labeled beyond proximity to the closing hymn and tune line.",Recorded the person in event credits with a cautious role label tied to the closing hymn.,435-437,not located
non-musical information,"The ship diary/travel notes are not a formal musical event, though they mention a band, orchestra, and a morning hymn on trumpet.",Created a non-event record and preserved the text in additional_information.,449-460,not located
incomplete information,"The date ""July 30th 34"" is incomplete for required dd/mm/yyyy formatting and cannot be normalized without inference.",Left event_date as null and preserved the wording in additional_information.,450-450,not located
non-musical information,The preliminary announcement for educational organizations is unrelated to a musical event.,Created a non-event record and preserved organizational and officer information as credits and additional_information.,472-500,454
conflicting information,"Two separate ""President"" credits appear in the same announcement, associated with different names, suggesting either two organizations or a formatting ambiguity.",Preserved both president credits exactly as listed and grouped them under the same role in the credits.,478-486,not located
non-musical information,The hymn text and tune attribution on page 10 appear without clear event context and may be part of a larger document outside the chunk.,Created a non-event record preserving the text and tune information exactly as shown.,426-437,427
incomplete information,"Ship date is given as ""July 30th 34"" without a complete machine-normalizable date format as required.",Did not convert to dd/mm/yyyy; preserved the wording in additional_information.,449-450,not located
non-musical information,"Shipboard diary material is largely non-event/travel content, though it mentions band, orchestra, and trumpet hymn.",Created a non-event record and preserved all visible wording in additional_information.,449-460,not located
incomplete information,"The invitation gives a full date in words for the performance, but the year/day/month are embedded in prose and not all event occurrences in the document share that same date.",Preserved the date wording in additional_information and did not assign a normalized event_date at event level.,502-502,544
potential misspelling,Several names in the invitation material may contain OCR or spelling issues.,Preserved the names exactly and flagged them for review.,514-545,not located
potential misspelling,Possible OCR/name issue in committee signatures and service conductor name.,Preserved the forms exactly as printed and flagged them.,567-580,not located
potential misspelling,Possible OCR/name issue in service conductor title/place.,Preserved exact wording in credits and performance additional_information.,608-610,537
OCR error,Possible OCR error in ship name.,Preserved exact wording and flagged for review.,645-645,not located
potential misspelling,Possible OCR error in Paris programme closing sentence.,Preserved exact wording in additional_information.,716-716,544
non-musical information,"Pages 18-25 contain addresses, correspondence, travel, and note material not constituting musical events.",Separated these into non-event records and preserved wording in additional_information.,719-813,not located
OCR error,Possible OCR error in street name of London Office on page 25.,Preserved exact wording in the venue field and flagged it.,804-805,669
incomplete information,"The recital date is given as ""NOVEMBER 3rd, 1934"" without month/day normalization certainty under required dd/mm/yyyy format because day-month order is textual and no explicit numeric month appears.",Left event_date null and preserved the printed date wording in additional_information.,839-844,not located
ambiguous attribution,"Cover lists ""SCHNABEL MOZART SCHUBERT SCHUMANN"" and programme pages identify works, but the cover typography may ambiguously present names as title elements rather than formal credits.","Recorded Schnabel as performer and Mozart/Schubert/Schumann as composers, based on the programme pages, and flagged the ambiguity.",835-839,not located
non-musical information,Advertisement for BECHSTEIN piano company rather than a musical event.,Created a non-event entry and preserved the advertisement text in additional_information.,851-865,740
non-musical information,London County Council exit notice is venue/regulatory material rather than programme content.,Preserved the notice in the programme event additional_information.,867-869,761
ambiguous event boundary,The programme pages do not show the full heading or complete event identity within this chunk; the recital may begin before the chunk.,"Created a concert event from the visible programme pages only and did not infer missing heading, date, venue, or performer beyond what is visible.",871-996,not located
incomplete information,"Future recital listings give month and day but no year, so complete dates cannot be established.",Preserved the recital dates as performance names/additional information and left event_date null.,953-985,805
non-musical information,"Advertisement for recorded music and record catalogue, not a live musical event.",Created a non-event entry and preserved recording listings as performances within it.,997-1038,852
ambiguous event boundary,A new document appears to begin at Page 1 with 'MR. A. M. HENDERSON LECTURE RECITALS'.,Separated the Henderson material into a new event entry.,1039-1045,not located
non-musical information,OCR metadata block is not part of the musical source document.,Excluded the OCR metadata block from event content.,1046-1053,28711
non-musical information,Press notices are promotional quotations rather than a distinct musical event.,Created a separate non-event entry for the press notices.,1092-1100,1077
non-musical information,The opening material consists of press quotations/testimonials rather than a clearly delimited musical event in this chunk.,Created a non-event record and preserved the quotations in additional_information.,1101-1114,not located
incomplete information,The Melba Concert programme appears partial within this chunk; only some programme items are visible and the translation text cuts off at the end of the chunk.,Extracted only the visible programme items and preserved the truncated text as-is.,1116-1225,not located
OCR error,"Possible OCR corruption in the title ""L'En'ant Prodigue"".",Preserved the wording exactly as printed/OCRed.,1161-1161,not located
ambiguous attribution,"For ""Violin Soli (b) ""Melodie"" ... ... M. BRONISLAW HUBERMAN."", the line may indicate performer rather than composer, while item (a) shows a composer after the title. Attribution is unclear from the chunk alone.",Recorded M. BRONISLAW HUBERMAN as performer for Violin Soli and preserved the line in performance additional_information.,1158-1160,not located
OCR error,"Possible OCR error in French text: ""ou ramenait"" may be misread.",Preserved the OCR wording exactly in the lyrics transcript.,1178-1179,1155
OCR error,"Possible OCR error in French text: question mark appears within the line ""Aux cœurs inconsolés que le temps? sont pesants !"".",Preserved the OCR wording and punctuation exactly in the lyrics transcript.,1190-1190,1155
ambiguous event boundary,"The opening lyric text appears to be a continuation from an earlier page or earlier part of the document, and its relationship to the later clearly structured program items cannot be established from this chunk alone.",Separated the opening fragment into its own event entry to preserve the text without inventing its parent event.,1226-1233,1174
incomplete information,"No event name, date, venue, location, or presenter is visible for the concert material in this chunk.",Recorded null for unavailable event-level fields and preserved page and fragment context in additional_information.,1234-1287,not located
OCR error,"Possible OCR spacing error in the lyric text: ""av verasse"" may be a split word, but it must be preserved as printed in the OCR.",Preserved the wording exactly in the transcript.,1242-1242,1184
incomplete information,"The ""Songs in French"" group lists four items, but only the beginning lyric text for item (a) is visible in this chunk; no printed texts for items (b)–(d) are present here.",Recorded the group listing and preserved the visible lyric text only for item (a).,1276-1287,not located
incomplete information,"The chunk contains only a partial text excerpt and a numbered title, without visible event metadata such as date, venue, performers, or surrounding program context.",Captured the material as a non-event text fragment and preserved the visible title and verse exactly as shown.,1288-1302,1243
OCR error,"The word ""tintaiient"" appears anomalous and may reflect OCR distortion, but it is preserved exactly as printed in the source chunk.",Retained the wording exactly and flagged for manual review.,1288-1288,1243
content filter,The OCR source lines were rejected by the model content filter and therefore could not be structurally transcribed by the language model.,"The original OCR text was preserved verbatim in the additional_information field of a non-event record. No attempt was made to rewrite, correct, summarize, or omit the rejected material.",1303-1310,69540
incomplete information,"The chunk contains only a fragment of text without enough visible context to identify a specific musical event, work title, or associated credits.",Recorded the material as a non-event and preserved the visible text verbatim in additional_information and lyrics_transcript.,1311-1318,not located
ambiguous event boundary,The text appears to continue from an earlier portion of the source and may belong to a larger event or document not visible in this chunk.,Did not infer any broader event context; preserved the fragment as-is.,1311-1318,not located
content filter,The OCR source lines were rejected by the model content filter and therefore could not be structurally transcribed by the language model.,"The original OCR text was preserved verbatim in the additional_information field of a non-event record. No attempt was made to rewrite, correct, summarize, or omit the rejected material.",1319-1326,not located
incomplete information,"The chunk contains only a partial text or lyric excerpt without visible event-identifying information such as title, date, venue, performers, or full work context.",Created a non-event entry and preserved the visible text in additional_information.,1327-1334,1285
ambiguous event boundary,This appears to be a fragment that may belong to a larger musical work or event continuing outside the chunk boundaries.,Did not infer the larger work or event; treated the visible material as a standalone non-event fragment for this extraction.,1327-1334,1285
incomplete information,"The chunk contains only a fragment of lyrical text without visible event metadata such as title, date, venue, performers, or document context.",Created a non-event record and preserved all visible text in additional_information and lyrics_transcript fields.,1335-1350,1303
ambiguous event boundary,"The text appears to be part of a larger work or program continuing beyond the chunk boundaries, so the exact event or document boundary cannot be determined from this excerpt alone.",Extracted only the visible text and avoided inferring the larger event context.,1335-1350,1303
incomplete information,"The chunk appears to show only part of a larger event; event name, date, venue, and location are not visible.","Created a single event from the visible program heading and performer, leaving unavailable event-level fields as null and preserving visible program information in additional_information.",1276-1306,not located
OCR error,"Possible OCR error in lyric text: ""tintaiient"" may be misread, but the source wording must be preserved.",Preserved the text exactly as OCRed in the lyrics transcript.,1288-1288,1243
incomplete information,"The lyrics/transcript for ""SI MES VERS AVAIENT DES AILES."" is cut off at the end of the chunk.",Transcribed only the visible lines and noted the truncation in the performance additional_information.,1301-1306,1349
content filter,The OCR source lines were rejected by the model content filter and therefore could not be structurally transcribed by the language model.,"The original OCR text was preserved verbatim in the additional_information field of a non-event record. No attempt was made to rewrite, correct, summarize, or omit the rejected material.",1307-1313,not located
incomplete information,"The chunk contains only fragmentary text and a possible work heading, with no complete event details such as date, venue, or performers.",Recorded the material as a non-event and preserved all visible text in additional_information and lyrics_transcript.,1314-1321,1259
ambiguous event boundary,The visible text appears to be a continuation from an earlier page or document and may belong to a larger event or program not fully present in this chunk.,Did not infer missing context; extracted only the text visible in this chunk.,1314-1321,1259
non-musical information,The chunk does not provide a clearly identifiable standalone musical event listing; it consists of textual fragments and a possible work title heading.,"Classified the extraction as event_type ""non-event"" per instructions.",1314-1321,not located
content filter,The OCR source lines were rejected by the model content filter and therefore could not be structurally transcribed by the language model.,"The original OCR text was preserved verbatim in the additional_information field of a non-event record. No attempt was made to rewrite, correct, summarize, or omit the rejected material.",1322-1329,69551
incomplete information,"The chunk contains only a fragment of apparent lyrics or poetic text without explicit event, work, or performer identification.",Recorded the material as a non-event and preserved the text in additional_information and lyrics_transcript.,1330-1337,1285
ambiguous event boundary,This text fragment may belong to a larger event or work that begins before or continues after the current chunk.,Extracted only the visible fragment and did not infer surrounding event structure.,1330-1337,1315
ambiguous event boundary,"The musical program appears to begin before this chunk and may continue beyond it. Only partial information is visible, including a numbered item “(d) NYMPHES ET SYLVAINS.” and later violin soli entries.",Created a single concert event using only the visible material and noted partial-status in additional_information.,1338-1387,not located
incomplete information,"The item “(d) NYMPHES ET SYLVAINS.” is presented without explicit composer, performers, or larger work identification in this chunk.",Recorded the visible title and full lyrics/transcript only.,1341-1382,1303
potential misspelling,The word “vore” may be an OCR or spelling issue in the lyric line “Aux cieux pâlis que vore voix”.,Preserved the wording exactly as printed/OCR and flagged for review.,1363-1365,1444
incomprehensible OCR,"The line beginning “D'ar s un dernier soupir d'amour,” is difficult to interpret and may contain OCR corruption.",Preserved the text exactly as it appears and flagged it.,1377-1379,1444
ambiguous attribution,"The crediting of “Schubert-Wilhelm” in the violin soli listing is ambiguous as to whether it represents one hyphenated attribution, two names, or another relationship.",Preserved the attribution exactly as shown in the performance additional_information and included it in event credits as composer wording.,1383-1383,not located
non-musical information,The material on page 8 is an advertisement for gramophone records rather than a musical event program.,"Created a separate event with event_type ""non-event"" and preserved the advertisement text in additional_information.",1388-1400,1476
non-musical information,The opening material is advertisement/catalog content rather than a clearly described musical event.,"Created a separate event with event_type ""non-event"" and preserved the text in additional_information.",1401-1437,1494
incomplete information,"The source begins mid-table, so the catalog/advertisement material is incomplete within this chunk.",Preserved only the visible entries and noted that the material is partial.,1401-1429,not located
OCR error,"Possible OCR error in title: ""Ah! fors e lui"" appears irregular.",Preserved the wording exactly as printed and flagged for review.,1410-1412,not located
OCR error,"Possible OCR error in title: ""Lo I here the gentle lark"" appears irregular.",Preserved the wording exactly as printed and flagged for review.,1420-1422,1494
formatting error,"Unmatched parenthesis appears in the note ""(By special request).""",Preserved the wording exactly in additional_information.,1440-1441,1515
ambiguous attribution,"The line ""Alan Fenwick."" appears after the lyrics of ""YOU."" but its role is not explicitly stated.","Included Alan Fenwick as a scoped credit for ""YOU."" with a cautious role label and flagged for review.",1515-1515,1572
incomplete information,"The lyrics/transcript for ""AVE MARIA."" are cut off by the end of the chunk.",Transcribed only the visible text and noted truncation in additional_information.,1517-1525,1577
non-musical information,Page 13 contains a Columbia records advertisement and promotional text rather than a musical event.,Created a non-event entry and preserved all visible text in additional_information.,613-630,not located
non-musical information,Page 14 contains an artist management/agency advertisement rather than a specific musical event.,Created a non-event entry and preserved all visible text in additional_information; represented roster as credits.,632-679,not located
non-musical information,Page 15 contains a piano advertisement rather than a specific musical event.,Created a non-event entry and preserved all visible text in additional_information.,681-716,not located
incomplete information,"The duet pages do not provide a complete event date, venue, or location within this chunk, so the larger event context is incomplete.","Extracted the visible performance as a standalone event with null event date, venue, and location.",529-610,not located
OCR error,"Possible OCR issue in the Italian text: spacing and wording appear irregular in 'Fre mon gio nel l'anima le dolcezze streme, more!'.",Preserved the text exactly as printed/OCRed in lyrics_transcript and flagged for review.,542-542,1609
potential misspelling,"Several names and terms in the agency advertisement may be misspelled or OCR-distorted, such as 'M. KUBBLIK' and 'M. MELSA'.",Preserved spellings exactly as given and flagged for manual review.,663-676,not located
potential misspelling,The institution name contains a possibly unusual final character: 'MUSASHINO ACADEMIA MUSICAЕ'.,Preserved the wording exactly as given in presenter_sponsor and additional_information.,721-724,1622
incomplete information,The second document continues beyond the chunk; only the beginning of the 'REGULAR CONCERTS' section and one orchestra concert are visible here.,Extracted only the visible event and preserved the table of contents in additional_information.,718-775,not located
non-musical information,Opening lines are advertisement text for CHAPPELL player-pianos rather than an event program.,Created a non-event record and preserved the advertisement in additional_information.,1701-1716,not located
OCR error,"Institution name contains unusual final character in ""MUSASHINO ACADEMIA MUSICAЕ"".",Preserved exactly as printed in event_name/presenter_sponsor context.,1721-1724,1622
ambiguous attribution,"In A CONCERT of CHAMBER CHORUS, ""TETSUYA OYAKAWA"" appears immediately under the conductor line without an explicit role.",Included with conductor credit for preservation and flagged for review.,1850-1851,not located
OCR error,"Event title appears as ""CARL SEEMANN PIANO RECAITAL"".",Preserved title exactly as printed.,1878-1880,2228
conflicting information,"HENRI HONEGGER CELLO RECITAL lists two different date/time lines, suggesting multiple performances or a formatting problem.","Set event_date to null, preserved both dates in additional_information, and extracted the visible program.",1920-1924,2430
incomplete information,A Concert in CELEBRATION of the COMPLETION of a NEW MOZART HALL gives a two-day date span rather than a single complete date for the schema.,Set event_date to null and preserved the date wording in additional_information.,1967-1970,2609
potential misspelling,"Beethoven work listed as ""32 Variations Op. 191"" may contain an error.",Preserved exactly as printed.,2008-2010,2818
potential misspelling,"Wolf song title appears as ""Wer sein holdes Lieb veeloren"".",Preserved exactly as printed.,2022-2025,2923
potential misspelling,"Brahms item appears as ""Vraiations and Fugue on a Theme by Händel"".",Preserved exactly as printed.,2063-2065,3182
formatting error,"Quoted title line for Beethoven includes an extra closing quotation mark: ""Sechs Lieder von Gellert"" Op. 48""",Preserved punctuation exactly as printed.,2082-2083,not located
potential misspelling,"Student recital entry reads ""Morrō, ma prima in grazia"" with accented character that may reflect OCR or print anomaly.",Preserved exactly as printed.,2122-2123,not located
potential misspelling,"Student recital entry reads ""Begli ochi, mercie!"".",Preserved exactly as printed.,2147-2148,3637
potential misspelling,"Student recital entry reads ""Date abbiento al mio dolore"".",Preserved exactly as printed.,2151-2153,3665
potential misspelling,"French title appears as ""Dialogue sur la veix humaine"".",Preserved exactly as printed.,2178-2182,3782
incomplete information,Joint Concert of F. Lichnewsky & J. E. L. Lichnewsky continues beyond the end of the visible chunk.,Extracted only the visible portion and noted incompleteness in additional_information.,2194-2200,not located
ambiguous event boundary,"The material at lines 002126-002127 appears to belong to an event that began before this chunk, but the visible continuation is immediately followed by a new dated program on page 18.",Did not create a separate incomplete event from the two carry-over lines alone; preserved them in the additional_information of the 12/01/1968 event and flagged for review.,2126-2127,not located
incomplete information,"The 12 January 1968 program shows repertoire and venue/time, but no visible performer name in this chunk.","Created the event with available date, time, venue, and repertoire; left performer information null/absent and flagged for review.",2130-2162,3907
potential misspelling,Several work titles or names in the 12 January 1968 program may contain OCR or spelling problems.,Preserved wording exactly as printed/OCR and flagged examples for review.,2137-2153,not located
duplicate information,"Date 'November 22, 1967' appears at the start of both page 22 and page 23, likely indicating two separate events on the same date or repeated heading context.",Treated them as two separate events because each has its own distinct title and repertoire.,2293-2307,not located
non-musical information,The 'GROUP CONCERTS' page contains descriptive prose about student participation and omission of programs rather than a specific musical event.,Created a non-event record and preserved the prose in additional_information.,2343-2347,not located
ambiguous attribution,"The credit line 'Associated Ladies' Choir, 155 Voices.' is organizational/count information rather than personal names.",Recorded it as a credit with names '155 Voices' and preserved exact wording in additional_information.,2485-2486,4950
OCR error,Some member listings on page 2 contain obvious OCR irregularities or malformed parenthetical text.,Preserved the text exactly and included it in credits.,2421-2478,4927
incomplete information,One flute player entry on page 6 is truncated as 'Mr.' with no surname visible in the chunk.,Preserved the incomplete entry in the orchestra flutes credit and flagged it.,2606-2610,not located
ambiguous attribution,"The phrase 'Members of the Orchestral Class, Conservatorium of Music, Melbourne University.' acknowledges a group without listing names.",Recorded the organizational credit with an empty names string because no individual names are supplied.,2497-2497,not located
incomplete information,The orchestra personnel list is a continuation from an earlier page and lacks the parent event title and other identifying details in this chunk.,Created a separate concert event with null event name/date/venue/location and preserved the visible personnel list in credits and additional_information.,2551-2654,not located
incomplete information,The flute listing contains an incomplete name: 'Mr.' with no surname.,Preserved exactly as printed in the Flutes credit.,2606-2610,not located
potential misspelling,Manager name may be OCR-distorted or misspelled: 'Bjalmar Joscphi'.,Preserved the name exactly as it appears.,2674-2674,not located
OCR error,Machine-readable metadata appears between programme pages and is not part of the historical document.,Ignored metadata as event content and did not create a separate event for it.,2718-2724,not located
incomplete information,Event date for the 80th Programme is not complete enough for dd/mm/yyyy formatting because the month is given as '+ Sept.' and year as ''99'.,Left event_date as null and preserved the wording in additional_information.,2740-2742,5196
OCR error,Venue line for the 80th Programme contains OCR symbols: 'Glen's Concert + + + Hall'.,Preserved the venue wording exactly as printed.,2742-2742,5196
incomplete information,The 71st Programme lists works and performers for several items but gives no composers in the visible chunk.,Did not infer composers; preserved only the visible information.,2896-2921,not located
OCR error,"The first programme item of the 151ST CONCERT is on a severely corrupted elongated OCR line, obscuring likely details such as composer or pagination dots.","Extracted only the clearly readable performance type and title 'Part Song' and '""Thou art My Dream""' and flagged the line for review.",2971-2973,not located
incomplete information,The 151ST CONCERT programme continues beyond the chunk; 'Festgesang' lyrics are truncated.,Preserved the partial lyrics visible and noted truncation in performance additional_information.,3028-3050,not located
ambiguous event boundary,"The opening concert program begins mid-document and may have started before this chunk. The event title, date, venue, and location are not visible here.",Created a concert event with null unavailable event-level fields and preserved the visible program items under a PART II section.,2976-3175,not located
incomplete information,"The first listed item 'For Home and Liberty' appears before the printed 'PART II.' heading, suggesting preceding section structure is missing from the chunk.",Placed all visible items in one event and noted in additional_information that earlier material may precede this section.,2976-3026,not located
potential misspelling,Possible OCR or source spelling issue in lyric text: 'stirke your lyres'.,Preserved the wording exactly in lyrics_transcript.,3045-3047,5490
incomprehensible OCR,"Lyric line contains wording that may be OCR-corrupted or otherwise unclear: 'Lovingly did, its light arose;'.",Preserved the line exactly in lyrics_transcript.,3053-3053,5539
incomprehensible OCR,"Lyric line contains unclear wording: 'Thou, the silver-clad mountains lowing'.",Preserved the line exactly in lyrics_transcript.,3114-3114,5560
incomprehensible OCR,Lyric line contains unclear wording: 'Hoodoos amongst the breeze.',Preserved the line exactly in lyrics_transcript.,3115-3115,5560
non-musical information,"The chunk contains OCR metadata, building description, advertisements, and photo-caption material not constituting a musical event program item.",Grouped this material into a separate non-event record and summarized the visible contents in additional_information.,3179-3475,not located
ambiguous attribution,"Cast listing uses 'MM. ENDRÈZE' for the singular role 'Comte Mosca', which may reflect OCR or source inconsistency.",Preserved the credit exactly as printed in the credits list.,3400-3401,5749
incomplete information,The cast listing for 'Général Fabio Conti' appears split across lines and omits an honorific before the performer surname 'HUBERTY'.,Combined the split role name as 'Général Fabio Conti' and preserved performer name exactly as printed.,3402-3403,not located
potential misspelling,"The text prints 'LE TRATTORIA DE THEODOLINDE', which may be an unusual or incorrect form.",Preserved the heading exactly in the synopsis transcription.,3298-3300,5628
duplicate information,The credit 'Chef d'Orchestre : M. Louis FOURESTIER' appears on both page 23 and page 25.,Included the credit once in the event credits list and flagged the repeated appearance.,3406-3407,not located
duplicate information,"The event title, librettist, and composer for 'LA CHARTREUSE DE PARME' appear multiple times in the chunk, including pages 3 and 23.",Consolidated them into a single opera event while preserving repeated contextual information in additional_information.,3191-3197,not located
potential misspelling,Weekly schedule item prints mixed capitalization in 'LE FESTIN DE L'ARaignée'.,Preserved the title exactly as printed.,3213-3215,5709
incomplete information,Act III synopsis is explicitly continued from an earlier page and may itself continue beyond the visible analysis statement before the distributions.,Transcribed all visible Act III analysis text and noted the continuation statement in additional_information/transcript.,3352-3358,not located
ambiguous event boundary,The LA CHARTREUSE DE PARME material begins mid-distribution and likely continues from an earlier page not present in this chunk.,Created a single opera event using only visible information and preserved the partial cast list in additional_information and credits.,3401-3407,5749
non-musical information,Advertisement pages and commercial matter are interleaved with the opera program.,Grouped clearly non-event material into a separate non-event record.,3410-3418,5957
ambiguous attribution,"The line ""Armand LUNEL et Henri SAUGUET."" does not specify roles in the visible text.",Recorded both names as author credits and noted the ambiguity for manual review.,3461-3461,5616
potential misspelling,"The page heading appears as ""ROYAL COVENT OPERA GARDEN,"" which may be an OCR or printing issue relative to nearby wording.",Preserved the wording exactly and flagged it.,3627-3627,not located
incomplete information,"The Beecham concert date is incomplete because the year is not explicitly present in the date line itself, only the season is given.",Left event_date as null and preserved the wording in additional_information.,3637-3640,not located
conflicting information,"The concerto listing places ""RENÉ LE ROY (1756-1791)"" beneath the Mozart concerto heading, creating possible confusion between soloist identification and dates.",Recorded RENÉ LE ROY as soloist at event level and preserved the exact text in the performance additional_information.,3879-3882,5933
incomplete information,The Sibelius suite entry is cut off at the end of the chunk and may continue beyond the visible text.,Extracted only the visible movements and left the item otherwise incomplete.,3896-3900,not located
non-musical information,Machine-readable metadata pages are present and are unrelated to musical events.,Included them in the non-event record additional_information.,3583-3599,38054
ambiguous event boundary,"The opening lines ""Mignon Pariera"", ""GENERAL SECRETARY"", ""Frederick Laurence"", and ""COVENT GARDEN"" indicate this chunk begins in the middle of an existing programme or document. The actual event title and earlier programme items are not visible.",Created a concert event for the Covent Garden programme using only visible information and noted that item 1 is not visible.,3826-3833,not located
conflicting information,"The line ""RENÉ LE ROY (1756-1791)"" appears immediately under the Mozart flute concerto listing and seems inconsistent with the performer name; the dates may belong to another person or be erroneous.",Preserved the wording in the performance additional_information and credited RENÉ LE ROY as performer without attaching the dates as fact.,3880-3882,5933
conflicting information,"The line ""Suite, ""Pelléas and Mélisande"" ... ... ... Sibelius 1865"" contains a trailing year that may be incomplete or erroneous in context.",Preserved the line exactly in the performance name and flagged for review.,3896-3898,not located
duplicate information,"In the programme note for ""Mélisande,"" a sentence appears repeated with slight variation: ""the cor anglais solo to an accompaniment of muted violins and violas only... the cor anglais solo to an accompaniment of muted violin and violas only.""",Left the note in event additional_information context only and flagged apparent OCR duplication.,3913-3914,not located
conflicting information,"The line ""Concerto in C for Flute ... ... ... ... Grétry / RENÉ LE ROY 1741-1813"" appears to assign dates beside the performer name, which may actually belong elsewhere or be erroneous.",Preserved the wording in performance additional_information and did not treat the dates as performer life dates.,4002-4004,6002
formatting error,"The Berlioz item heading includes mismatched punctuation and parenthesis: ""From ""The Damnation of Faust"") Berlioz 1803-1869"".",Preserved the wording exactly and flagged the formatting issue.,4013-4018,not located
OCR error,"Several apparent OCR or typographic anomalies occur in the Columbia advertisement, including ""Orchestral and Banj"", ""Beethos"", and unusual record-number formatting.",Treated the material as a non-event advertisement and preserved the text in additional_information only at event level.,4026-4132,not located
incomplete information,"The Queen's Hall advertisement is truncated or partially illegible, including lines ""SECOND / HORO / THE WORLD RE"" and incomplete pricing/seating information.",Extracted the visible programme items and preserved the partial wording in additional_information.,4151-4170,6119
OCR error,"The advertisement heading on page 20 reads ""MORY"" while the body reads ""Morny"" and ""Made in England by MORY"".",Preserved both forms exactly in the non-event record.,4186-4203,not located
incomprehensible OCR,"After the line ""SONG"" in the 53rd Programme, the OCR contains an extremely long repeated sequence of filler characters and dots, obscuring the remainder of the page.",Recorded a separate song performance with no further details and flagged the OCR corruption.,4223-4223,not located
ambiguous event boundary,"A line reading ""Hadow"" on page 2 appears between the 1896-7 Musical Society of Victoria programme and the start of the 1915 Chamber Concert document, making the document boundary uncertain.","Treated ""Hadow"" as residual text from the preceding document and began a new event at the clearly headed 1915 programme.",4225-4228,not located
incomplete information,"The lyrics/transcript for ""The Princess"" cut off mid-line at the end of the chunk.",Transcribed all visible text only and left the transcript incomplete.,4317-4325,not located
ambiguous event boundary,"The first event begins mid-programme and its heading, date, venue, and presenter are not visible in this chunk.",Extracted only visible programme items and meeting/business information; left unavailable event-level fields as null.,4251-4278,6287
incomplete information,"The first three instrumental items list composers and one performer name appears after them, but item-to-performer attribution is not explicitly broken down by line.",Recorded Miss Rita Hope as a performer credit at event level and preserved the three titles as separate performances without asserting finer attribution.,4251-4254,6287
